model_name,family,run_name,raw_epoch,epoch,train_loss,val_loss,precision,recall,map50,map50_95,f1,time_seconds,dataset_resolution,input_resolution,training_seconds,best_weights,class_ap_biodegradable,class_ap_cardboard,class_ap_glass,class_ap_metal,class_ap_paper,class_ap_plastic
YOLOv8-M,yolo,yolov8m_data640_img640,2,2,4.5916,4.3806400000000005,0.47721,0.36217,0.3849,0.24076,0.41180668040647644,736.16,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,3,3,4.4357299999999995,4.086790000000001,0.50193,0.36995,0.41646,0.27806,0.42595082694817415,1096.36,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,4,4,4.28638,3.9247199999999998,0.5348,0.41463,0.45574,0.30545,0.46711000073679254,1455.39,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,5,5,4.08248,3.71401,0.58864,0.43919,0.50274,0.34247,0.50304972923489,1813.27,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,6,6,3.9478999999999997,3.6992,0.56385,0.4545,0.49657,0.33436,0.5033040212102879,2177.64,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,7,7,3.8458500000000004,3.5982399999999997,0.56088,0.45357,0.50242,0.3491,0.5015492958741175,2535.96,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,8,8,3.75628,3.5115700000000003,0.55147,0.48235,0.51789,0.36018,0.5145993586886357,2898.54,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,9,9,3.66512,3.3803400000000003,0.61065,0.50295,0.55611,0.38978,0.5515919854520909,3256.97,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,10,10,3.5820799999999995,3.38538,0.60231,0.4988,0.55558,0.3883,0.5456897639649575,3621.62,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,11,11,3.56961,3.35032,0.60249,0.49593,0.55495,0.39523,0.544041196809468,3989.18,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,12,12,3.44717,3.36998,0.6041,0.50599,0.5596,0.38689,0.5507095082375747,4360.07,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,13,13,3.3232799999999996,3.26649,0.61784,0.50017,0.56036,0.40115,0.5528126453246814,4722.38,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
